store_id,official_address,neighborhood,locality
427,Av. Rivadavia 16051,Haedo,G.B.A.
428,Rosario 4558,Ing. Adolfo Sordeaux,G.B.A.
429,Independencia 4731,Villa Ballester,G.B.A.
430,Carrillo 2170,San Martin,G.B.A.
431,Av. Presidente Teniente Gral J.D.Peron 3283,Victoria,G.B.A.
433,Av. Ing. Eduardo Madero 1050 - Ruta 26,Del Viso,G.B.A.
435,Ruta 26 162,Maquinista Savio,G.B.A.
436,Parana 6543,Villa Adelina,G.B.A.
437,Centenario 1890,Beccar,G.B.A.
438,25 de Mayo 2650,Los Polvorines,G.B.A.
439,Gob. Arias 2420,Castelar,G.B.A.
440,Av. Cazon 1336,Tigre,G.B.A.
441,Velez Sarfield 4690,Munro,G.B.A.
442,Sarmiento 837,Moron,G.B.A.
443,Los Tilos 711,Don Bosco,G.B.A.
444,Camino Gral Belgrano 6498,Florencio Varela,G.B.A.
445,Av. Arana 231,Villa Elisa,G.B.A.
446,Eva Peron 4461,Monte Chingolo,G.B.A.
447,Coronel D`Elia 1649,Lanus,G.B.A.
448,Carlos Pellegrini 844,Burzaco,G.B.A.
449,Sallares 151,Florencio Varela,G.B.A.
450,Bolivar 1343,Longchamps,G.B.A.
451,Guatambu 12,Almirante Brown,G.B.A.
452,Av. Centenario 5331,Ezpeleta,G.B.A.
453,Martin Rodriguez 1399 (Banfield),Banfield,G.B.A.
454,Mitre 573,Quilmes,G.B.A.
455,Av. Hipolito Yrigoyen 2323,Gerli,G.B.A.
456,Av. San Martin 3960,Remedio Escalada,G.B.A.
457,Sarmiento 72 y M. Moreno,Glew,G.B.A.
458,Claudio de Alas 2146,Budge,G.B.A.
459,Camino Gral Belgrano 4861,Lanus Este,G.B.A.
460,Eva Perón 3330,Lanus Este,G.B.A.
461,Salta 160,Lomas de Zamora,G.B.A.
462,12 de octubre 520,Quilmes,G.B.A.
463,Av. Teniente Gral Juan Domingo Perón 2640,Valentín Alsina,G.B.A.
464,Av. Peron 5492,Puente La Noria,G.B.A.
465,Av. Mitre 6328,Wilde,G.B.A.
466,29 de septiembre 1880,Lanus,G.B.A.
468,Juan Manuel de Rosas 6956,Isidro Casanova,G.B.A.
469,Fraga 1629,San Miguel,G.B.A.
470,El Payador 5550,Villa Bosch,G.B.A.
471,Av. Honorio Luque 6125/29,Gregorio Laferrere,G.B.A.
472,Jauretche 1125,Hurlingham,G.B.A.
473,9 de Julio 46/50,Ramos Mejìa,G.B.A.
474,Echeverri 943 / 951,Matera,G.B.A.
